Date,Id,AlgerianSales,SyrianSales,IndianSales,ChineseSales,EuropeanSales,TotalSales
2022-01-01,1,2389,2904,3934,3245,2113,14585
2022-01-02,1,1411,2217,2409,3841,3862,13740
2022-01-03,1,1806,2555,1292,4086,2064,11803
2022-01-04,1,3223,1872,2366,3011,2634,13106
2022-01-05,1,4528,803,2103,2633,3502,13569
2022-01-06,1,1494,1754,2871,3383,4113,13615
2022-01-07,1,2208,2744,2354,4193,2740,14239
2022-01-08,1,3836,2229,3570,2194,2715,14544
2022-01-09,1,1117,2629,1693,3005,4046,12490
2022-01-10,1,1286,2520,1738,3286,3928,12758
2022-01-11,1,4255,1893,3005,4459,4414,18026
2022-01-12,1,4486,1892,3076,2734,2805,14993
2022-01-13,1,4465,1341,3498,3585,4467,17356
2022-01-14,1,1688,2349,3073,2582,5462,15154
2022-01-15,1,2595,2945,3404,2996,3871,15811
2022-01-16,1,2025,2017,1937,1932,5804,13715
2022-01-17,1,3420,882,3556,2080,4754,14692
2022-01-18,1,1104,805,2546,3273,5387,13115
2022-01-19,1,1345,2500,3079,2779,2086,11789
2022-01-20,1,1666,2218,2942,4083,5196,16105
2022-01-21,1,3091,2267,3354,2061,2146,12919
2022-01-22,1,3614,873,3019,4234,4200,15940
2022-01-23,1,1774,2862,3545,4373,5979,18533
2022-01-24,1,2080,1521,2584,3489,2729,12403
2022-01-25,1,2655,863,3311,1602,5893,14324
2022-01-26,1,2101,2828,3590,1622,5378,15519
2022-01-27,1,4260,2979,3174,2985,4462,17860
2022-01-28,1,4331,1193,2789,3185,3783,15281
2022-01-29,1,1237,1973,3047,4214,4686,15157
2022-01-30,1,3779,1353,1516,2910,5921,15479
2022-01-31,1,4470,2596,3352,2396,4240,17054
2022-02-01,1,4990,910,3915,3684,4060,17559
2022-02-02,1,2993,1889,2293,2525,5254,14954
2022-02-03,1,4855,1890,1276,2861,3022,13904
2022-02-04,1,3221,2836,2535,3906,2372,14870
2022-02-05,1,4584,2512,2790,1762,5845,17493
2022-02-06,1,2346,1006,3917,3602,4561,15432
2022-02-07,1,4614,1613,2435,4228,2937,15827
2022-02-08,1,4813,1409,3292,1501,2449,13464
2022-02-09,1,2064,1399,1538,1562,3753,10316
2022-02-10,1,1941,1248,3683,4383,5583,16838
2022-02-11,1,1670,2390,1775,3591,5555,14981
2022-02-12,1,4796,1932,1860,2568,2321,13477
2022-02-13,1,4007,2117,2154,3415,2976,14669
2022-02-14,1,2858,818,2542,1775,2701,10694
2022-02-15,1,1874,1807,2379,2975,5786,14821
2022-02-16,1,4814,1909,3200,2624,3399,15946
2022-02-17,1,1078,2483,1497,4039,4642,13739
2022-02-18,1,4972,2735,1201,2364,3433,14705
2022-02-19,1,1164,2044,2102,3371,4431,13112
2022-02-20,1,4098,1392,1579,3838,5968,16875
2022-02-21,1,1932,1425,2198,1542,4958,12055
2022-02-22,1,2354,2308,1998,1575,5620,13855
2022-02-23,1,2326,1047,2071,3190,5613,14247
2022-02-24,1,1993,1922,3690,2234,2977,12816
2022-02-25,1,2250,2504,2033,4336,2747,13870
2022-02-26,1,4143,2366,2706,2562,2993,14770
2022-02-27,1,3079,1365,2163,3225,2583,12415
2022-02-28,1,1050,2625,3371,2129,5256,14431
2022-03-01,1,1353,1744,3486,4176,5087,15846
2022-03-02,1,4507,1282,2528,2714,4887,15918
2022-03-03,1,2694,1462,2764,3849,5419,16188
2022-03-04,1,2291,2241,3214,3709,5125,16580
2022-03-05,1,4254,2936,3388,3506,3217,17301
2022-03-06,1,3905,967,3129,3351,5219,16571
2022-03-07,1,4960,2552,3838,1634,3162,16146
2022-03-08,1,3810,1998,2888,4294,3354,16344
2022-03-09,1,2560,2143,1412,1906,4658,12679
2022-03-10,1,1867,1056,1944,3007,3625,11499
2022-03-11,1,1048,1931,3120,2843,3372,12314
2022-03-12,1,4389,893,1658,1987,4455,13382
2022-03-13,1,2210,1807,1388,2560,4071,12036
2022-03-14,1,2195,2845,1814,3353,4832,15039
2022-03-15,1,4366,2157,3376,4265,3336,17500
2022-03-16,1,4907,1998,3321,1588,2450,14264
2022-03-17,1,1140,1644,3403,2972,3331,12490
2022-03-18,1,2749,1212,2316,2377,2159,10813
2022-03-19,1,4661,2858,1445,3232,2810,15006
2022-03-20,1,1152,1653,2110,2086,4178,11179
2022-03-21,1,3902,1545,1226,4046,2910,13629
2022-03-22,1,1647,1516,3139,3546,4414,14262
2022-03-23,1,3427,1916,3229,2501,4324,15397
2022-03-24,1,1046,2260,3149,1526,4131,12112
2022-03-25,1,2362,2215,2870,2927,3451,13825
2022-03-26,1,3613,1571,2586,3273,4844,15887
2022-03-27,1,3491,2949,2687,4442,3653,17222
2022-03-28,1,2114,2923,3699,1867,2758,13361
2022-03-29,1,1461,2229,3010,2873,5283,14856
2022-03-30,1,3760,2436,1927,3955,4620,16698
2022-03-31,1,3995,2605,1923,4077,2642,15242
2022-04-01,1,3052,2135,3820,3534,2799,15340
2022-04-02,1,1399,1556,2118,3398,3018,11489
2022-04-03,1,3295,960,3134,1700,5349,14438
2022-04-04,1,4547,1917,1447,3380,2100,13391
2022-04-05,1,2837,2714,1657,3846,5847,16901
2022-04-06,1,2245,937,3780,3925,5775,16662
2022-04-07,1,3759,1799,2859,2193,2509,13119
2022-04-08,1,2583,2174,3705,2493,3379,14334
2022-04-09,1,1538,1095,1898,3491,2255,10277
2022-04-10,1,3044,1525,2784,2384,5505,15242
2022-04-11,1,2242,1648,3194,1576,3880,12540
2022-04-12,1,3995,2072,1236,1992,5519,14814
2022-04-13,1,4116,1370,1731,2786,2863,12866
2022-04-14,1,3977,2928,3974,4265,5040,20184
2022-04-15,1,1043,2941,1701,3087,3101,11873
2022-04-16,1,4121,2251,3613,1511,3109,14605
2022-04-17,1,3484,1508,1724,1676,4477,12869
2022-04-18,1,4268,2774,3999,3791,2015,16847
2022-04-19,1,2633,2732,1630,2964,2550,12509
2022-04-20,1,2755,1980,2094,2694,5926,15449
2022-04-21,1,4605,1940,1690,2246,2279,12760
2022-04-22,1,3142,2631,1471,3498,2091,12833
2022-04-23,1,1418,1452,3454,4147,5002,15473
2022-04-24,1,3109,1044,3417,2583,5991,16144
2022-04-25,1,2016,2101,1414,3414,2326,11271
2022-04-26,1,1742,2399,1718,1571,4161,11591
2022-04-27,1,3869,1975,1425,1645,4439,13353
2022-04-28,1,3796,2073,1569,2650,2744,12832
2022-04-29,1,2126,1679,2667,1720,5478,13670
2022-04-30,1,1699,2189,1823,2722,2839,11272
2022-05-01,1,1261,1232,3354,4068,2792,12707
2022-05-02,1,2054,1293,2304,3902,2145,11698
2022-05-03,1,3122,1428,1712,4251,2617,13130
2022-05-04,1,1136,2245,2017,4089,4461,13948
2022-05-05,1,3508,1443,2492,3260,4356,15059
2022-05-06,1,4189,1994,2470,2712,5668,17033
2022-05-07,1,2162,1507,2745,2760,2331,11505
2022-05-08,1,1106,2149,2746,3057,3420,12478
2022-05-09,1,3925,1250,3170,1718,3936,13999
2022-05-10,1,2558,2465,3982,1759,2839,13603
2022-05-11,1,3779,1883,3009,3525,3488,15684
2022-05-12,1,3461,2628,2775,2469,3267,14600
2022-05-13,1,4599,2763,3877,3725,4367,19331
2022-05-14,1,3471,1996,2188,4071,4564,16290
2022-05-15,1,3465,2086,2856,3369,5495,17271
2022-05-16,1,2789,2448,1999,2055,4611,13902
2022-05-17,1,1269,2014,3045,1674,3520,11522
2022-05-18,1,4113,1821,3502,2493,3765,15694
2022-05-19,1,1035,2940,3898,1769,2494,12136
2022-05-20,1,3949,1261,3222,2492,4210,15134
2022-05-21,1,4993,2497,3354,2484,4331,17659
2022-05-22,1,1371,1191,1703,4280,5679,14224
2022-05-23,1,3239,2366,1205,2963,3328,13101
2022-05-24,1,1185,2493,2137,3988,4275,14078
2022-05-25,1,4025,1056,3167,3414,4472,16134
