Date,Id,Total,PublicitySpending
2022-01-01,1,16188,2363
2022-01-02,1,11565,1838
2022-01-03,1,12610,2001
2022-01-04,1,9675,1372
2022-01-05,1,11066,960
2022-01-06,1,18274,1821
2022-01-07,1,18664,2163
2022-01-08,1,5137,369
2022-01-09,1,11228,868
2022-01-10,1,15566,1404
2022-01-11,1,12924,1914
2022-01-12,1,17055,3222
2022-01-13,1,7146,982
2022-01-14,1,16059,1278
2022-01-15,1,17755,3224
2022-01-16,1,14690,934
2022-01-17,1,14926,1942
2022-01-18,1,6073,601
2022-01-19,1,16164,3092
2022-01-20,1,12157,2371
2022-01-21,1,13779,1497
2022-01-22,1,12331,1480
2022-01-23,1,10575,549
2022-01-24,1,19145,1384
2022-01-25,1,19857,2320
2022-01-26,1,16680,3248
2022-01-27,1,5941,399
2022-01-28,1,9927,904
2022-01-29,1,11259,1410
2022-01-30,1,18619,957
2022-01-31,1,17369,2574
2022-02-01,1,8575,1482
2022-02-02,1,10282,999
2022-02-03,1,18024,1443
2022-02-04,1,6332,484
2022-02-05,1,7992,594
2022-02-06,1,5255,631
2022-02-07,1,5153,311
2022-02-08,1,5826,865
2022-02-09,1,18388,1767
2022-02-10,1,11012,1140
2022-02-11,1,16398,2856
2022-02-12,1,7165,840
2022-02-13,1,18046,2797
2022-02-14,1,19468,2154
2022-02-15,1,12912,2499
2022-02-16,1,12730,2504
2022-02-17,1,12418,1565
2022-02-18,1,9950,808
2022-02-19,1,6193,995
2022-02-20,1,8187,557
2022-02-21,1,17578,1603
2022-02-22,1,17337,2088
2022-02-23,1,5329,298
2022-02-24,1,7571,1293
2022-02-25,1,5683,1030
2022-02-26,1,14785,1830
2022-02-27,1,19762,2207
2022-02-28,1,13525,2165
2022-03-01,1,19218,1588
2022-03-02,1,15287,1774
2022-03-03,1,14962,868
2022-03-04,1,11424,1956
2022-03-05,1,8468,1486
2022-03-06,1,9647,906
2022-03-07,1,19016,2723
2022-03-08,1,7615,1151
2022-03-09,1,15037,1529
2022-03-10,1,12735,2495
2022-03-11,1,17362,2913
